imageid,count,lon,lat,t
17289993,0,-8237582.27296891,4972113.12567174,2016-10-05 17:00:56
19158548,0,-8235655.59975006,4975709.24199992,2016-10-19 07:42:36
8909746,0,-8233467.11422081,4977048.29481862,2016-08-29 20:30:32
30714567,2,-8237966.93746935,4971144.33044285,2016-12-16 11:30:32
26365804,0,-8237672.33043696,4975867.12250637,2016-11-29 09:08:12
44682842,3,-8234622.56600744,4975391.94575265,2017-03-10 14:56:40
31965746,1,-8235370.39921464,4975005.30584982,2016-12-27 13:23:38
32792609,0,-8235605.45031945,4973603.53570252,2017-01-03 08:13:28
1569377,3,-8234560.38293989,4975517.023282,2016-06-29 14:41:34
42346860,0,-8231645.43754567,4981353.45311776,2017-02-28 15:20:20
8276389,0,-8236698.99733726,4971020.01386176,2016-08-22 08:38:50
15236679,4,-8237142.26041765,4975425.13992679,2016-09-22 15:52:40
27143999,0,-8238748.35576692,4969582.96782749,2016-12-02 16:44:10
6131623,0,-8238156.0915481,4972767.39143766,2016-08-01 09:54:38
11929490,0,-8237994.80073789,4973012.79462586,2016-09-14 12:40:36
8404666,0,-8238036.01121338,4975995.24799811,2016-08-24 15:41:58
35803094,0,-8239331.02424563,4970531.39921301,2017-01-19 08:48:42
39006306,0,-8235173.48616738,4975369.22860063,2017-02-08 08:42:54
16132527,0,-8234946.24969082,4975065.72605057,2016-09-27 13:49:26
37850429,0,-8238723.7652914,4973707.02300524,2017-01-31 09:01:38
15269421,1,-8234830.81137887,4975440.67172386,2016-09-23 16:59:22
35172298,0,-8239495.89954344,4968872.14517998,2017-01-16 09:54:20
1609965,0,-8234159.45466185,4980936.46638176,2016-06-28 16:03:22
36645446,0,-8233613.48821925,4980407.46976877,2017-01-25 08:30:26
9957341,0,-8238078.88034929,4969302.14228608,2016-09-02 12:17:20
28547652,2,-8235303.37374924,4975329.23125953,2016-12-09 08:04:32
7495156,2,-8237354.06801278,4973576.62095609,2016-08-12 17:25:04
42839201,0,-8231221.61084837,4983828.5840217,2017-03-02 11:18:02
14345405,1,-8235586.54826992,4973693.68301315,2016-09-22 13:47:26
8395566,1,-8237894.64659203,4971193.85776306,2016-08-25 15:56:42
21818145,0,-8237988.19949209,4971955.70239967,2016-11-02 11:29:34
3508224,1,-8230913.37831031,4982095.96031525,2016-08-04 15:00:22
19126348,0,-8238554.25910277,4975693.57752438,2016-10-20 11:49:46
1894491,1,-8232631.37201173,4977764.4156261,2016-06-27 12:29:44
44039918,1,-8236694.51116178,4971049.97659826,2017-03-09 12:29:58
17547536,0,-8238244.96902955,4972378.47562778,2016-10-06 08:55:24
25444808,0,-8234552.46812409,4974895.44254613,2016-11-23 17:34:22
41980253,0,-8235746.36966285,4975849.9442077,2017-02-24 11:11:48
7805591,1,-8235787.22391597,4975602.41253845,2016-08-18 09:44:22
42506963,0,-8231823.61552263,4987348.02715583,2017-02-23 11:29:06
29846398,0,-8236817.97560902,4973424.90368189,2016-12-13 13:20:48
44869483,0,-8236558.81270251,4977356.76779993,2017-03-08 09:04:24
9159349,0,-8234200.5649498,4981446.62733533,2016-09-02 12:22:16
25556110,6,-8235448.2783304,4977742.01630615,2016-11-23 13:24:50
22279168,1,-8239045.56767539,4968713.80492549,2016-11-04 13:54:34
33189461,0,-8234759.93425908,4980477.46486837,2017-01-05 12:06:04
42339408,1,-8237995.80261331,4970840.3421823,2017-02-28 14:20:06
41238631,0,-8237704.5462976,4973646.05292567,2017-02-21 09:26:12
29910781,0,-8235018.41811671,4975397.77933773,2016-12-12 12:51:04
16934117,0,-8235567.27886606,4972739.28908919,2016-10-03 13:03:12
17394335,0,-8238093.8973486,4974828.73465627,2016-10-06 13:45:04
7744254,0,-8231679.74621273,4984211.42592312,2016-08-17 09:47:32
12351583,3,-8235610.69346747,4977147.83577627,2016-09-15 12:54:08
32051143,0,-8238430.50522486,4973317.45278313,2016-12-29 11:36:00
29977246,0,-8236978.34246746,4971523.60565925,2016-12-14 12:17:36
43443039,0,-8236808.17949383,4971255.28256389,2017-03-06 11:36:02
28418631,2,-8237366.19070533,4971360.63977442,2016-12-08 08:52:10
21066975,0,-8238830.32030799,4969921.69325231,2016-10-28 15:37:40
37068108,1,-8236001.35808846,4978150.81198064,2017-01-27 10:13:40
22456465,0,-8235669.30317937,4979209.07448286,2016-11-07 08:39:46
